rec_id,nr_hit,species,group member,method,classification,notes,Old_rec_id,Old_fasta_name
common_Hrpw1__genbank_WP_005763926.1__uniprot_Q7C4I5__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_005763926.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,AvrRpt2-fusion (Rpt2 dependant HR response),proven,#NAME?,Q7C4I5,Q7C4I5_Pseudomonas_syringae_group typeIII
common_HrpZ1__genbank_WP_005763902.1__uniprot_Q887C6__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_005763902.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"immunoblot,cya",proven,#NAME?,Q887C6,Q887C6_Pseudomonas_syringae_group typeIII
common_HopC1__genbank_AAO54131.1__uniprot_Q88A08__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54131.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,#NAME?,Q88A08,Q88A08_Pseudomonas_syringae_group typeIII
common_HopU1/HopPtoS2__uniprot_Q88A91__genbank_AAO54045.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54045.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence, cya",proven,,Q88A91,Q88A91_Pseudomonas_syringae_group typeIII
common_HopAD1__uniprot_Q87W65__genbank_AAO58135.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011105124.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"avrRpt2, cya",proven,,sp|Q87W65|HOPAD_PSESMEffector,sp|Q87W65|HOPAD_PSESMEffector_Pseudomonas_syringae_group protein hopAD1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAD1 PE=4 SV=1|19390696|
common_HopM1__uniprot_Q887D0__genbank_WP_005763919.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_005763919.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,,sp|Q887D0|HOPM1_PSESMEffector,sp|Q887D0|HOPM1_PSESMEffector_Pseudomonas_syringae_group protein HopM1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopM1 PE=1 SV=1|19390696|
common_HopI1__uniprot_Q87W07__genbank_AAO58206.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_005763320.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,tr|F3ICX9|F3ICX9_PSEAVType,tr|F3ICX9|F3ICX9_PSEAVType_Pseudomonas_syringae_group III effector HopI1 OS=Pseudomonas amygdali pv. lachrymans str. M302278 GN=PLA106_02720 PE=4 SV=1|26120140|
tr|Q52432|Q52432_PSESXAvirulence,AAB51082.1,Pseudomonas syringae pv. tomato str. DC3000,,,,,,
common_HopA1__uniprot_Q87UE5__genbank_AAO58779.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011105440.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,tr|Q87UE5|Q87UE5_PSESMType,tr|Q87UE5|Q87UE5_PSESMType_Pseudomonas_syringae_group III effector HopA1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopA1 PE=1 SV=1|26120140|
common_HopT1-2__uniprot_Q87WF7__genbank_AAO58039.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_007243772.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,CyA,proven,,tr|Q87WF7|Q87WF7_PSESMType,tr|Q87WF7|Q87WF7_PSESMType_Pseudomonas_syringae_group III effector HopT1-2 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopT1-2 PE=4 SV=1|19390696|
common_HopE1__uniprot_Q87X57__genbank_AAO57782.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011104966.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,tr|Q87X57|Q87X57_PSESMType,tr|Q87X57|Q87X57_PSESMType_Pseudomonas_syringae_group III effector HopE1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopE1 PE=4 SV=1|19390696|
common_HopAH2-2__uniprot_Q87ZX9__genbank_AAO56771.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011104481.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,CyA,proven,,tr|Q87ZX9|Q87ZX9_PSESMType,tr|Q87ZX9|Q87ZX9_PSESMType_Pseudomonas_syringae_group III effector HopAH2-2 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAH2-2 PE=4 SV=1|26120140|
common_HopF2__genbank_AAO54046.1__uniprot_Q88A90__genbank_AAO56771.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54046.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,tr|Q88A90|Q88A90_PSESMHopF,tr|Q88A90|Q88A90_PSESMHopF_Pseudomonas_syringae_group OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopF2 PE=1 SV=1|26120140|
common_HopN1__genbank_AAO54892.1__uniprot_Q9JP32__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54892.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,,tr|Q9JP32|Q9JP32_PSEUBType,tr|Q9JP32|Q9JP32_PSEUBType_Pseudomonas_syringae_group III effector HopN1 OS=Pseudomonas syringae pv. tomato GN=ALO36_02903 PE=4 SV=1|19390696|
common_HopD1__uniprot_Q888Y8__genbank_AAO54410.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54410.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,sp|Q888Y8|HOPD1_PSESMEffector,sp|Q888Y8|HOPD1_PSESMEffector_Pseudomonas_syringae_group_genomosp._3 protein hopD1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopD1 PE=3 SV=1|23437191|
common_HopY1__uniprot_Q88BF6__genbank_AAO53615.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO53615.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,CyA,proven,,tr|F3INB8|F3INB8_PSEAVType,tr|F3INB8|F3INB8_PSEAVType_Pseudomonas_syringae_group_genomosp._3 III effector HopY1 OS=Pseudomonas amygdali pv. lachrymans str. M302278 GN=PLA106_21293 PE=4 SV=1|26120140|
common_HopG1__uniprot_Q87W42__genbank_AAO58163.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011105137.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,tr|Q87W42|Q87W42_PSESMType,tr|Q87W42|Q87W42_PSESMType_Pseudomonas_syringae_group_genomosp._3 III effector HopG1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopG1 PE=4 SV=1|19390696|
"common_HopS1__genbank_AAO58043.1__uniprot_Q87WF4__species_Pseudomonas_syringae_pv._tomato_str._DC3000,",WP_011105074.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,appears to be a truncated protein but still passed translocation and T3SS secretion,tr|Q87WF4|Q87WF4_PSESMType,tr|Q87WF4|Q87WF4_PSESMType_Pseudomonas_syringae_group_genomosp._3 III effector HopS1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopS1 PE=1 SV=1|24391954|
common_HrpAK1__genbank_AAO57557.1__uniprot_Q87XS5__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO57557.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,#NAME?,tr|Q87XS5|Q87XS5_PSESMType,tr|Q87XS5|Q87XS5_PSESMType_Pseudomonas_syringae_group_genomosp._3 III helper protein HopAK1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAK1 PE=3 SV=1|19390696|
common_HopT1-1__genbank_AAO59044.1__uniprot_Q88BP7__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO59044.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,,tr|Q88BP7|Q88BP7_PSESMType,tr|Q88BP7|Q88BP7_PSESMType_Pseudomonas_syringae_group_genomosp._3 III effector HopT1-1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopT1-1 PE=4 SV=1|26120140|
common_HopB1__uniprot_Q9L6W4__genbank_WP_011103540.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011103540.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvrRpt2, Cya",proven,,tr|Q9L6W4|Q9L6W4_PSEUBType,tr|Q9L6W4|Q9L6W4_PSEUBType_Pseudomonas_syringae_group_genomosp._3 III effector HopB1 OS=Pseudomonas syringae pv. tomato GN=ALO36_02932 PE=4 SV=1|19390696|
"common_HopK1__genbank_AAO53599.1__uniprot_Q88BH0__species_Pseudomonas_syringae_pv._tomato_str._DC3000,",AAO53599.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvrRpt2, cya",proven,previous names HopPtoK and avrRps4(pto),Q88BH0,Q88BH0_Pseudomonas_syringae_pv._maculicola typeIII
common_HopX1__genbank_AAO59038.1__uniprot_Q88BQ2__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO59038.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,,tr|Q88BQ2|Q88BQ2_PSESMType,tr|Q88BQ2|Q88BQ2_PSESMType_Pseudomonas_syringae_pv._maculicola_str._M6 III effector HopX1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=HopX1 PE=4 SV=1|23437191|
common_HopAA1-1__genbank_AAO54894.1__uniprot_G3XDB9__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54894.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"(?²-galactosidase), CyA",proven,,tr|G3XDB9|G3XDB9_PSESMType,tr|G3XDB9|G3XDB9_PSESMType_Pseudomonas_syringae_pv._tomato III effector HopAA1-1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAA1-1 PE=4 SV=1|26120140|
common_HopAA1-2__genbank_AAO58156.1__uniprot_Q87W48__species_Pseudomonas_syringae_pv._tomato_str._DC3000,KPY97203.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"(?²-galactosidase), CyA",proven,,tr|Q87W48|Q87W48_PSESMType,tr|Q87W48|Q87W48_PSESMType_Pseudomonas_syringae_pv._tomato III effector HopAA1-2 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAA1-2 PE=4 SV=1|26120140|
common_HopAF1__genbank_AAO55088.1__uniprot_Q886L1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,KPY96890.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,tr|Q886L1|Q886L1_PSESMType,tr|Q886L1|Q886L1_PSESMType_Pseudomonas_syringae_pv._tomato III effector HopAF1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAF1 PE=4 SV=1|19390696|
"common_HopAG1_partial__genbank_AAO54435.1__uniprot_Q888W3__species_Pseudomonas_syringae_pv._tomato_str._DC3000,",KPY87186.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,appears to be a truncated protein but still passed translocation and T3SS secretion,tr|Q888W3|Q888W3_PSESMType,tr|Q888W3|Q888W3_PSESMType_Pseudomonas_syringae_pv._tomato III effector HopAG1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAG1 PE=4 SV=1|23437191|
common_HopH1__genbank_AAO54130.1__uniprot_Q88A09__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54130.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvRpt, immunofluorescence",proven,,tr|Q88A09|Q88A09_PSESMType,tr|Q88A09|Q88A09_PSESMType_Pseudomonas_syringae_pv._tomato III effector HopH1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopH1 PE=4 SV=1|19390696|
common_HopAH2-1__genbank_WP_011104480.1__uniprot_Q87ZY0__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011104480.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"AvrRpt2-fusion (Rpt2 dependant HR response), immunoblot, cya",proven,,tr|Q87ZY0|Q87ZY0_PSESMType,tr|Q87ZY0|Q87ZY0_PSESMType_Pseudomonas_syringae_group III effector HopAH2-1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAH2-1 PE=3 SV=1|26120140|
common_AvrE1__genbank_WP_011103532.1__uniprot_Q887C9__species_Pseudomonas_syringae_pv._tomato_str._DC3000,WP_011103532.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,,tr|Q887C9|Q887C9_PSESMType,tr|Q887C9|Q887C9_PSESMType_Pseudomonas_syringae_group III effector protein AvrE1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=avrE1 PE=4 SV=1|23437191|
Q08I86,ABI93937.1,Pseudomonas syringae pv. tomato str. DC3000,,,,,,
common_HopAH1__uniprot_Q888W1__genbank_AAO54439.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54439.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,CyA,proven,,Q888W1,Q888W1_Pseudomonas_syringae_pv._tomato_str._DC3000 typeIII
common_HopV1__genbank_AAO58158.1__uniprot_Q87W46__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO58158.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,,tr|Q87W46|Q87W46_PSESMType,tr|Q87W46|Q87W46_PSESMType_Pseudomonas_syringae_pv._tomato_str._DC3000 III effector HopV1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopV1 PE=4 SV=1|19390696|
common_HopO1-2__genbank_AAO58040.1__uniprot___species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO58040.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,AvrRpt2-fusion (Rpt2 dependant HR response) and immunoblot,proven,expressed in low quantities without T3SS regulator,tr|Q87WF6|Q87WF6_PSESMType,tr|Q87WF6|Q87WF6_PSESMType_Pseudomonas_syringae_pv._tomato_str._DC3000 III effector HopO1-2 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopO1-2 PE=4 SV=1|26120140|
common_HopO1-3__uniprot_Q87WF8__genbank_AAO58038.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO58038.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,CyA,proven,,tr|Q87WF8|Q87WF8_PSESMType,tr|Q87WF8|Q87WF8_PSESMType_Pseudomonas_syringae_pv._tomato_str._DC3000 III effector HopO1-3 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopO1-3 PE=4 SV=1|26120140|
common_HopS2__genbank_AAO58034.1__uniprot_Q87WG2__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO58034.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"(?²-galactosidase), CyA",proven,,tr|Q87WG2|Q87WG2_PSESMType,tr|Q87WG2|Q87WG2_PSESMType_Pseudomonas_syringae_pv._tomato_str._DC3000 III effector HopS2 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopS2 PE=4 SV=1|26120140|
common_HopAI1__uniprot_Q888W0__genbank_AAO54440.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54440.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,CyA,proven,,tr|Q888W0|Q888W0_PSESMType,tr|Q888W0|Q888W0_PSESMType_Pseudomonas_syringae_pv._tomato_str._DC3000 III effector HopAI1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopAI1 PE=4 SV=1|19390696|
common_HopR1__uniprot_Q888Y1__genbank_AAO54417.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54417.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,CyA,proven,,tr|Q888Y1|Q888Y1_PSESMType,tr|Q888Y1|Q888Y1_PSESMType_Pseudomonas_syringae_pv._tomato_str._DC3000 III effector HopR1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopR1 PE=4 SV=1|19390696|
common_HopQ1-1__genbank_AAO54411.1__uniprot_Q888Y7__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54411.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,,tr|Q888Y7|Q888Y7_PSESMType,tr|Q888Y7|Q888Y7_PSESMType_Pseudomonas_syringae_pv._tomato_str._DC3000 III effector HopQ1-1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopQ1-1 PE=4 SV=1|19390696|
tr|Q88AB8|Q88AB8_PSESMType,AAO54018.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,,not proven and probably not an effector,"suppposed to be HopAS1 or an homolog. ""This region contains an authentic point mutation causing a premature stop and is not the result of a sequencing artifact"" its less than 300 aa while the whole protein is ~1300 aa. The second reference HopAS1 it's not even in DC3000",,
common_HopD2/hopAO1__genbank_AAO33450.1__uniprot_Q79LY0__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO33450.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,"avrRpt2, ?²-lactamase",proven,,sp|Q79LY0|HOPD2_PSESMEffector,sp|Q79LY0|HOPD2_PSESMEffector_Pseudomonas_tremae protein hopD2 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopD2 PE=1 SV=1|24391954|
common_HopP1/HopPtoP__uniprot_Q882F0__genbank_AAO56180.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO56180.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,harpin,,
common_HrpP1__uniprot_Q9F0H5__genbank_AAO54920.1__species_Pseudomonas_syringae_pv._tomato_str._DC3000,AAO54920.1,Pseudomonas syringae pv. tomato str. DC3000,Ella,cya,proven,a unique effector which is also required for the T3SS assembly/strcucture,,
E2MHF7,EEB58670.1,Pseudomonas syringae pv. tomato T1,,,,,,
E2MMY3,EEB56658.1,Pseudomonas syringae pv. tomato T1,,,,,,
E2MNA0,EEB56540.1,Pseudomonas syringae pv. tomato T1,,,D2,,,
F2ZG42,KPZ06006.1,Pseudomonas tremae,,,,,,
B6R546,WP_008550081.1,Pseudovibrio sp. JE062,,,,,,
RipTPS_WP_019719423.1,WP_019719423.1,Ralstonia,,,,,,
D2YZY3,AST26475.1,Ralstonia pseudosolanacearum,,,,,,
common_rip53__uniprot_Q8XRE0__genbank_CAD18065.1_species__Ralstonia_solanacearum,WP_011004211.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8XRE0,Q8XRE0_Ralstonia_pseudosolanacearum typeIII
common_rip45__uniprot_Q8XRI4__genbank_WP_011004145.1__species__Ralstonia_solanacearum,WP_011004145.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8XRI4,Q8XRI4_Ralstonia_pseudosolanacearum typeIII
common_rip37__uniprot_Q8XS09__genbank_WP_043876830.1__species__Ralstonia_solanacearum,WP_043876830.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8XS09,Q8XS09_Ralstonia_pseudosolanacearum typeIII
common_rip28__uniprot_Q8XTS6__genbank_CAD17179.2__species__Ralstonia_solanacearum,WP_043876782.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8XTS6,Q8XTS6_Ralstonia_pseudosolanacearum typeIII
common_rip25__uniprot_Q8XUH6__genbank_CAD17000.1__species__Ralstonia_solanacearum,AST28686.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8XUH6,Q8XUH6_Ralstonia_pseudosolanacearum typeIII
Q8XXH5,AST27679.1,Ralstonia pseudosolanacearum,,,,,,
common_rip14__uniprot_Q8XZN8__genbank_CAD15059.1__species__Ralstonia_solanacearum,AST26963.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8XZN8,Q8XZN8_Ralstonia_pseudosolanacearum typeIII
common_rip13__uniprot_Q8XZN9__genbank_WP_011001305.1__species__Ralstonia_solanacearum,WP_011001305.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8XZN9,Q8XZN9_Ralstonia_pseudosolanacearum typeIII
common_rip7/popP1__uniprot_Q8Y164__genbank_WP_011000779.1__species__Ralstonia_solanacearum,WP_011000779.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8Y164,Q8Y164_Ralstonia_pseudosolanacearum typeIII
common_rip5/avrA__uniprot_Q8Y1T1__genbank_CAD14138.1__species__Ralstonia_solanacearum,WP_011000566.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8Y1T1,Q8Y1T1_Ralstonia_pseudosolanacearum typeIII
common_ripB__uniprot_Q8Y2T7__genbank_CAD13773.2__species__Ralstonia_solanacearum,WP_011000212.1,Ralstonia pseudosolanacearum,Iris,cya,proven,,Q8Y2T7,Q8Y2T7_Ralstonia_pseudosolanacearum typeIII
RipAF1,WP_225891716.1,Ralstonia pseudosolanacearum,,,,,,
RipAU,WP_165858695.1,Ralstonia pseudosolanacearum,,,,,,
RipAV,WP_072633705.1,Ralstonia pseudosolanacearum,,,,,,
RipG1,WP_071507964.1,Ralstonia pseudosolanacearum,,,,,,
RipG3,ASL75921.1,Ralstonia pseudosolanacearum,,,,,,
RipG4,WP_071507453.1,Ralstonia pseudosolanacearum,,,,,,
RipP1,WP_081365236.1,Ralstonia pseudosolanacearum,,,,,,
RipX,WP_069079350.1,Ralstonia pseudosolanacearum,,,,,,
tr|Q700V9|Q700V9_RALSLPopP1,WP_099982818.1,Ralstonia pseudosolanacearum,,,,,,
A3RV23,WP_003263730.1,Ralstonia solanacearum,,,,,,
A3RV42,WP_003263755.1,Ralstonia solanacearum,,,,,,
B5RXF6,WP_003265666.1,Ralstonia solanacearum,,,,,,
B5RXJ6,WP_003273940.1,Ralstonia solanacearum,,,,,,
B5RY01,WP_003274089.1,Ralstonia solanacearum,,,,,,
B5RY42,WP_003274134.1,Ralstonia solanacearum,,,,,,
B5RYK1,WP_003274317.1,Ralstonia solanacearum,,,,,,
B5RYY9,WP_003274476.1,Ralstonia solanacearum,,,,,,
B5RZ24,WP_003274509.1,Ralstonia solanacearum,,,,,,
B5RZP1,WP_197344859.1,Ralstonia solanacearum,,,,,,
B5RZW9,WP_042550614.1,Ralstonia solanacearum,,,,,,
B5S080,WP_003275154.1,Ralstonia solanacearum,,,,,,
B5S0Q0,WP_003275358.1,Ralstonia solanacearum,,,,,,
B5S0S3,ALF88273.1,Ralstonia solanacearum,,,,,,
B5S0T6,TYZ51821.1,Ralstonia solanacearum,,,,,,
B5S0T7,WP_003275404.1,Ralstonia solanacearum,,,,,,
B5S288,WP_042551043.1,Ralstonia solanacearum,,,,,,
B5S3B6,WP_197326259.1,Ralstonia solanacearum,,,,,,
B5S3C6,WP_003277443.1,Ralstonia solanacearum,,,,,,
B5S3D2,TYZ55620.1,Ralstonia solanacearum,,,,,,
B5S3J5,WP_003277541.1,Ralstonia solanacearum,,,,,,
B5S4F6,WP_003276557.1,Ralstonia solanacearum,,,,,,
B5S4L3,WP_003276640.1,Ralstonia solanacearum,,,,,,
B5S4W8,WP_003276800.1,Ralstonia solanacearum,,,,,,
B5S4X1,WP_049279654.1,Ralstonia solanacearum,,,,,,
B5S4X5,WP_003276812.1,Ralstonia solanacearum,,,,,,
B5S507,WP_197341872.1,Ralstonia solanacearum,,,,,,
common_rip23__uniprot_B5S514.1__genbank_WP_003276866.1__species__Ralstonia_solanacearum,WP_003276866.1,Ralstonia solanacearum,Iris,cya,proven,,B5S514,B5S514_Ralstonia_solanacearum typeIII
B5S586,WP_003276972.1,Ralstonia solanacearum,,,,,,
B5S592,WP_055336195.1,Ralstonia solanacearum,,,,,,
B5S5B1,WP_053086884.1,Ralstonia solanacearum,,,,,,
B5S5G4,WP_003277094.1,Ralstonia solanacearum,,,,,,
B5S5G8,WP_003277099.1,Ralstonia solanacearum,,,,,,
B5S5N0,WP_003277186.1,Ralstonia solanacearum,,,,,,
B5S5T5,WP_003277271.1,Ralstonia solanacearum,,,,,,
B5S5T9,WP_003277278.1,Ralstonia solanacearum,,,,,,
B5S5W7,WP_003277324.1,Ralstonia solanacearum,,,,,,
B5S618,WP_184852185.1,Ralstonia solanacearum,,,,,,
B5S647,WP_003278118.1,Ralstonia solanacearum,,,,,,
B5S7C0,WP_039569881.1,Ralstonia solanacearum,,,,,,
B5S7T2,WP_003278485.1,Ralstonia solanacearum,,,,,,
B5S808,WP_003278592.1,Ralstonia solanacearum,,,,,,
B5S9H0,WP_042550693.1,Ralstonia solanacearum,,,,,,
B5S9K4,WP_003279365.1,Ralstonia solanacearum,,,,,,
B5S9M7,WP_003279399.1,Ralstonia solanacearum,,,,,,
B5S9U3,WP_003262382.1,Ralstonia solanacearum,,,,,,
B5S9Y0,WP_003261971.1,Ralstonia solanacearum,,,,,,
B5SA88,WP_003265253.1,Ralstonia solanacearum,,,,,,
B5SAA9,WP_003265279.1,Ralstonia solanacearum,,,,,,
B5SAI8,WP_003262828.1,Ralstonia solanacearum,,,,,,
B5SAM0,WP_003265720.1,Ralstonia solanacearum,,,,,,
B5SB33,WP_003263919.1,Ralstonia solanacearum,,,,,,
B5SCC6,WP_003263178.1,Ralstonia solanacearum,,,,,,
B5SCL2,WP_003265023.1,Ralstonia solanacearum,,,,,,
B5SCL5,WP_003265020.1,Ralstonia solanacearum,,,,,,
B5SCL7,WP_197325694.1,Ralstonia solanacearum,,,,,,
B5SCP6,WP_020957780.1,Ralstonia solanacearum,,,,,,
B5SCQ9,WP_162835363.1,Ralstonia solanacearum,,,,,,
B5SCR2,WP_003263713.1,Ralstonia solanacearum,,,,,,
B5SCV7,WP_039557519.1,Ralstonia solanacearum,,,,,,
B5SD17,WP_039557959.1,Ralstonia solanacearum,,,,,,
B5SD38,ALF90508.1,Ralstonia solanacearum,,,,,,
B5SD92,WP_003262776.1,Ralstonia solanacearum,,,,,,
B5SD96,WP_003262779.1,Ralstonia solanacearum,,,,,,
B5SDF4,WP_003261312.1,Ralstonia solanacearum,,,,,,
B5SDL3,WP_003261215.1,Ralstonia solanacearum,,,,,,
B5SDL7,WP_003261207.1,Ralstonia solanacearum,,,,,,
B5SDP2,WP_003264895.1,Ralstonia solanacearum,,,,,,
B5SDQ3,WP_020957562.1,Ralstonia solanacearum,,,,,,
B5SE27,ALF89517.1,Ralstonia solanacearum,,,,,,
B5SE66,WP_020957014.1,Ralstonia solanacearum,,,,,,
B5SEH7,WP_020956993.1,Ralstonia solanacearum,,,,,,
B5SF38,WP_003264986.1,Ralstonia solanacearum,,,,,,
B5SGD7,WP_197326359.1,Ralstonia solanacearum,,,,,,
B5SGW1,WP_003264643.1,Ralstonia solanacearum,,,,,,
B5SI99,WP_039556151.1,Ralstonia solanacearum,,,,,,
B5SKJ7,ALF88313.1,Ralstonia solanacearum,,,,,,
B5SKS7,WP_020957534.1,Ralstonia solanacearum,,,,,,
B5SKZ2,ALF88273.1,Ralstonia solanacearum,,,,,,
B5SLJ6,WP_020957228.1,Ralstonia solanacearum,,,,,,
B5SLJ7,WP_003264619.1,Ralstonia solanacearum,,,,,,
B5SLK4,WP_003264613.1,Ralstonia solanacearum,,,,,,
B7ZJG4,NKA55162.1,Ralstonia solanacearum,,,,,,
B7ZJG6,WP_019719527.1,Ralstonia solanacearum,,,,,,
C0SPN5,KAF3458691.1,Ralstonia solanacearum,,,,,,
C0SPN6,WP_118888102.1,Ralstonia solanacearum,,,,,,
C0SPN7,WP_071895770.1,Ralstonia solanacearum,,,,,,
C0SPN8,BAH47285.1,Ralstonia solanacearum,,,,,,
C0SPQ2,WP_016723181.1,Ralstonia solanacearum,,,,,,
C0SPQ4,CUV34250.1,Ralstonia solanacearum,,,,,,
C0SPQ5,KAF3459551.1,Ralstonia solanacearum,,,,,,
